"id","date","score"
4630,16948,98
4636,17149,94
4637,16959,92
4638,17014,88
4642,17115,82
4643,16933,67
4650,16948,96
4654,16969,82
4656,17085,96
4665,17155,94
4667,16954,96
4668,17009,100
4670,17045,75
4671,16952,98
4672,17141,84
4678,17112,83
4681,17060,100
4683,17044,90
4685,17138,96
4686,16955,92
4688,17144,94
4694,16958,92
4700,16975,96
4702,17060,92
4703,17063,75
4705,16876,83
4706,17063,81
4716,17058,92
4718,17008,92
4729,17101,81
4732,17093,90
4734,16949,80
4753,17115,88
4754,17007,86
4755,16973,94
4762,17091,90
4774,17036,84
4777,17037,83
4782,17031,90
4787,16980,83
4789,16982,88
4791,17035,78
4797,17052,90
4798,17047,76
4800,17147,98
4801,17115,94
4803,16966,73
4804,17141,86
4806,17152,94
4824,17032,96
4828,17000,98
4837,17073,100
4842,16973,90
4843,17017,93
4846,16966,78
4849,16891,84
4850,17152,90
4859,17011,92
4860,16948,96
4864,17141,84
4868,17044,94
4874,16923,90
4881,17095,90
4884,16820,94
4893,16939,90
4894,17098,85
4896,16997,100
4905,17070,96
4906,16945,98
4914,16883,92
4917,17050,78
4920,17023,96
4922,17126,96
4932,16959,85
4935,17094,81
4944,17156,96
4947,16965,98
4952,17114,96
4957,16996,94
4959,16860,90
4960,17077,89
4978,16867,92
4982,16941,98
4983,17122,69
4985,16938,100
4986,17043,87
4987,17038,100
4992,16930,96
4999,17077,77
5000,16976,94
5006,17091,96
5010,17078,86
5011,17046,92
5016,16966,90
5017,16996,80
5025,17017,92
5032,17067,96
5033,16905,94
5038,16949,90
5039,16889,87
5049,17017,71
5053,16961,91
5071,16882,84
5074,16962,88
5077,17039,100
5083,17067,96
5084,17067,94
5085,17067,92
5090,17077,82
5091,17038,90
5096,17002,92
5104,16982,98
5118,17142,98
5136,16925,98
5150,16990,80
5156,17098,84
5206,17142,88
5215,16861,92
5243,16997,100
5256,17064,90
5257,17149,91
5258,16975,94
5268,17028,87
5278,16841,96
5291,16860,90
5297,16855,92
5301,16832,92
5307,16955,94
5310,16954,92
5312,16948,96
5313,16939,92
5316,16967,88
5322,16966,98
5345,17079,100
5409,17079,100
5420,17079,100
5430,16946,98
5434,16974,98
5437,16862,100
5441,17032,94
5448,17085,100
5449,16901,96
5450,17085,100
5451,16901,100
5452,16901,100
5453,16901,92
5454,16901,98
5455,17085,100
5457,17085,92
5458,16901,100
5459,17085,98
5460,17027,98
5461,17085,98
5462,16901,96
5463,17027,93
5464,17027,100
5465,16901,98
5466,16901,96
5467,17027,100
5470,17085,94
5471,17085,98
5473,16901,100
5474,16901,98
5476,17027,98
5477,17085,92
5478,17085,91
5479,17085,92
5480,16901,98
5483,16901,100
5484,16901,100
5485,16901,98
5486,17027,96
5487,17085,96
5488,17085,90
5489,16901,89
5490,16901,100
5491,16901,98
5493,17085,100
5494,17085,100
5495,17085,96
5496,17085,96
5497,17085,87
5498,16901,93
5499,17085,100
5500,17027,100
5501,17027,92
5502,17085,98
5503,16901,100
5504,16941,94
5505,16901,100
5506,16901,100
5507,16901,96
5508,16901,100
5509,16901,91
5511,16901,100
5519,17085,96
5520,17085,96
5521,17085,100
5522,17085,98
5523,16901,100
5524,17085,98
5528,16901,96
5530,17042,98
5544,16901,96
5552,16948,96
5564,16937,90
5578,17042,100
5605,17079,100
5610,16975,96
5617,17027,100
5618,17085,100
5619,16901,98
5620,16901,96
5621,17027,96
5622,17085,96
5623,17085,94
5624,17085,100
5626,17085,94
5627,16901,100
5628,17085,96
5629,17085,100
5630,17085,96
5631,17085,94
5632,17085,100
5633,17085,92
5634,17085,98
5635,17027,96
5636,16901,96
5639,17085,94
5640,17085,90
5641,17085,100
5642,16901,100
5643,17085,98
5644,17085,92
5645,17085,90
5646,17085,100
5647,17085,100
5648,17085,100
5649,17085,92
5650,17027,94
5651,17085,96
5652,16901,100
5653,17105,96
5654,17105,96
5657,16901,100
5658,16901,98
5744,17042,100
5760,16829,100
5787,17044,100
5788,17046,100
5789,17044,100
5790,17045,100
5791,17060,94
5792,17043,100
5794,17051,96
5796,17072,98
5797,17080,98
5799,17058,100
5801,17088,100
5802,17086,98
5803,16910,96
5804,17063,100
5805,17045,92
5807,17045,98
5808,17052,98
5810,17053,92
5811,17056,98
5812,17071,98
5813,17060,98
5814,17046,100
5815,17064,96
5816,17113,98
5817,17043,87
5818,17108,100
5819,17113,100
5820,17046,88
5821,17063,100
5823,16882,92
5824,17063,100
5825,17052,100
5827,17064,96
5828,17119,100
5829,17091,100
5830,17099,100
5831,17042,100
5833,17064,100
5834,17064,96
5835,17051,98
5837,17107,91
5838,17135,91
5839,17053,100
5841,16927,91
5842,16902,94
5843,17114,96
5844,17113,98
5847,17036,100
5848,17095,100
5849,17099,96
5850,17042,100
5851,17108,98
5852,17050,96
5853,17087,100
5854,17088,92
5855,17107,88
5856,17050,96
5858,17058,100
5859,17058,98
5860,17065,100
5862,17060,100
5864,17064,96
5865,17060,98
5866,16898,96
5867,17058,100
5868,17052,90
5869,17064,96
5870,17060,91
5871,17063,100
5872,17065,100
5874,17058,100
5875,17050,92
5876,17058,93
5877,17065,100
5878,17064,98
5880,17057,98
5881,17042,100
5883,17060,100
5884,17050,100
5885,17050,100
5886,17051,96
5888,17070,100
5889,17065,100
5891,17060,98
5892,17109,98
5893,17057,100
5894,17057,100
5895,16897,100
5897,17058,100
5898,17057,100
5899,17064,100
5901,17065,98
5902,17056,100
5903,17053,96
5904,17071,100
5905,17064,94
5907,17085,100
5908,17064,90
5912,16937,100
5913,17050,92
5919,17087,98
5925,17038,70
5926,17060,100
5927,17064,92
5935,16897,100
5938,17058,86
5940,17066,100
5942,17053,96
5946,17056,98
5948,17053,91
5950,17044,92
5951,17080,96
5952,17063,98
5953,17088,96
5955,17052,93
5958,17052,100
5959,17064,100
5960,16927,92
5961,17063,92
5962,17119,96
5963,17071,96
5965,17065,100
5966,17067,93
5968,16808,100
5970,17057,96
5973,17058,98
5974,17107,96
5975,16939,92
5976,17067,96
5977,16920,98
5980,16994,100
5982,16909,96
5985,16829,100
5990,17074,98
5993,17028,100
5995,16814,96
5997,17101,98
5998,17087,93
5999,16882,92
6000,16884,92
6001,16920,96
6005,17037,93
6009,16995,100
6010,17121,96
6012,16988,100
6016,16988,91
6025,17133,90
6029,16939,100
6030,16983,94
6032,17056,96
6037,17039,100
6432,17140,91
6500,17016,92
6564,17011,75
6583,17102,90
6619,16807,84
6620,17014,88
6625,17074,98
6636,16973,96
6643,16961,69
6654,16821,70
6660,16836,70
6677,17017,96
6680,17155,96
6686,16920,98
6718,16878,96
6729,16988,81
6734,16933,82
6739,17155,86
6756,17142,100
6768,17077,89
6800,17113,94
6802,17081,100
6813,16983,98
6860,16905,88
6863,17077,98
6864,17095,90
6904,17088,96
6912,17024,86
6913,17107,98
6944,17065,77
6948,16861,88
6962,17155,88
6965,17014,87
6966,16808,94
7033,16953,94
7055,17114,87
7085,16925,98
7087,16983,92
7095,16864,98
7105,17001,94
7112,16896,100
7119,16848,77
7206,17070,100
7207,16898,94
7211,17070,100
7214,16862,83
7216,17068,77
7241,17050,96
7243,17126,83
7275,17127,98
7276,16930,92
7335,17038,100
7361,16924,86
7372,16898,90
7375,17128,100
7379,17059,92
7449,17105,100
7450,17137,88
7456,16882,100
7457,16834,98
7461,17057,100
7464,16939,100
7474,16923,93
7475,16876,96
7477,16939,98
7479,17133,88
7480,16829,94
7482,17098,94
7488,16994,79
7493,17102,84
7495,17098,96
7496,16939,88
7512,16891,84
7517,16925,98
7519,16994,100
7525,17150,98
7527,17025,96
7528,16939,92
7529,17002,98
7530,17047,96
7537,16941,86
7538,17072,96
7546,16896,100
7547,16807,94
7555,17091,100
7558,16924,90
7561,16883,88
7562,17039,100
7571,17127,92
7575,16955,90
7576,17001,100
7589,16969,82
7599,17101,98
7600,16995,100
7601,16995,98
7602,16939,96
7603,16995,100
7605,17072,98
7610,16981,96
7617,17024,94
7618,17024,96
7636,17093,81
7640,16959,100
7641,16839,96
7643,17071,74
7645,16861,88
7646,17099,94
7649,16996,98
7652,17000,86
7653,16974,98
7655,17057,94
7661,16968,86
7663,16987,94
7664,17067,96
7678,17007,73
7689,17024,98
7691,16939,87
7711,16960,82
7715,17057,94
7722,16939,98
7728,17092,100
7736,16988,84
7738,17059,80
7744,17022,98
7745,17115,94
7747,17145,88
7759,17010,89
7761,16923,92
7762,16988,83
7764,16955,96
7765,17017,91
7768,16974,100
7771,16983,88
7772,16989,90
7778,17023,96
7779,17137,96
7786,17092,96
7856,17142,84
7880,17011,94
7997,16981,96
8202,16931,69
8249,17037,94
8251,17150,98
8750,17015,93
8821,16871,100
8823,17011,100
8847,17133,83
8882,16884,98
8948,17157,90
9103,17137,89
9155,17080,92
9156,17037,87
9164,17025,83
9208,17057,80
9232,17133,90
9273,17092,85
9283,16976,87
9289,17119,90
9298,16947,85
9310,17092,89
9328,17078,89
9358,17073,100
9359,16958,90
9444,17016,96
9599,16994,76
9631,16925,92
9672,16896,100
9679,16952,81
9710,16993,94
9727,17016,94
9745,17004,96
9869,16941,98
9873,16976,87
9948,16834,83
10011,17072,80
10030,17046,92
10083,16875,88
10102,16889,74
10127,17015,93
10131,17014,87
10170,17053,82
10227,16841,92
10238,16828,64
10280,16864,96
10282,17051,86
10284,17059,96
10332,17008,77
10363,17051,85
10373,16949,85
10376,17134,94
10377,17085,93
10433,17100,90
10438,17142,92
10470,17067,86
10540,17011,89
10615,16995,96
10625,16926,84
10668,16967,96
10875,16855,92
10876,16983,87
10877,16975,81
10886,17105,78
10931,16869,80
10986,17023,92
10990,17119,84
11018,17015,83
11079,17133,92
11289,17015,96
11304,17032,90
11379,17072,85
11416,16923,94
11487,17027,100
11488,17027,100
11491,16890,100
11492,16850,88
11568,17016,94
11835,17071,96
11860,16891,88
12199,16980,92
12285,17009,100
12344,16932,96
12768,16995,92
12970,16829,83
13041,17016,98
13062,17058,87
13226,16906,98
13313,16939,100
13374,17108,98
13426,17114,92
13427,17016,94
13428,17113,90
